tank,treatment,CO2,light,avalida,CO2_light_combo,CO2_avalida_combo,light_avalida_combo,shoot_id,mortality,broken,herbivory,wet_wt_b4_g,wet_wt_aft_g,wet_wt_change_g,shoot_length_b4_cm,shoot_length_aft_cm,shoot_length_change_cm,rhizome_length_b4_cm,rhizome_length_aft_cm,rhizome_length_change_cm,sheath_width_mm,sheath_width_cm,leaf3_growth_cm,foil_wt_abv_g,total_wt_abv_g,dry_wt_abv_g,foil_wt_blw_g,total_wt_blw_g,dry_wt_blw_g,root_shoot_ratio,boat_wt_g,boat_plus_epi_wt_g,epi_wt_g,epi_load,carbon,nitrogen,c_to_n_ratio
1,6,high,ambient,present,high_ambient,high_present,ambient_present,1.1,0,1,0,13.9,10,-3.9,75,145.9,70.9,5,8,3,8,0.8,42,2.0705,3.134,1.0635,2.3429,2.7256,0.3827,0.359849553,4.8488,6.4784,1.6296,1.532299013,27.515,1.832,17.51499467
1,6,high,ambient,present,high_ambient,high_present,ambient_present,1.2,0,1,0,17.4,14.9,-2.5,75,146.7,71.7,5,7.6,2.6,8,0.8,48.6,2.1134,3.6073,1.4939,2.2545,2.6391,0.3846,0.257446951,4.5442,7.428,2.8838,1.93038356,27.081,1.694,18.64306239
1,6,high,ambient,present,high_ambient,high_present,ambient_present,1.3,0,1,0,17,16.4,-0.6,75,144.2,69.2,5,7.4,2.4,9,0.9,38.8,2.104,3.8117,1.7077,2.087,2.5195,0.4325,0.253264625,4.3128,6.8416,2.5288,1.480822158,28.394,1.933,17.13013106
1,6,high,ambient,present,high_ambient,high_present,ambient_present,1.4,0,1,0,17.2,12.8,-4.4,75,101,26,5,8,3,9,0.9,51.6,1.9662,3.2955,1.3293,2.0615,2.4872,0.4257,0.320243737,,,,,,,
2,1,ambient,ambient,absent,ambient_ambient,ambient_absent,ambient_absent,2.1,1,,,15.7,,,75,,,5,,,,,,1.7006,,,1.7866,,,,,,,,,,
2,1,ambient,ambient,absent,ambient_ambient,ambient_absent,ambient_absent,2.2,0,0,0,16,14.5,-1.5,75,142,67,5,8.1,3.1,9,0.9,,2.0224,3.3519,1.3295,1.8055,2.1771,0.3716,0.279503573,4.55,4.9841,0.4341,0.326513727,27.831,1.936,16.76445425
2,1,ambient,ambient,absent,ambient_ambient,ambient_absent,ambient_absent,2.3,0,1,0,18.7,19.3,0.6,75,133,58,5,7.5,2.5,9,0.9,74.3,1.9381,3.579,1.6409,1.7865,2.1954,0.4089,0.249192516,4.948,5.935,0.987,0.601499177,25.223,1.744,16.8661602
2,1,ambient,ambient,absent,ambient_ambient,ambient_absent,ambient_absent,2.4,0,1,0,16.9,18.2,1.3,75,125.9,50.9,5,9.5,4.5,9,0.9,70.9,1.9149,3.472,1.5571,1.9914,2.4806,0.4892,0.314173785,4.3548,5.9275,1.5727,1.010018624,15.373,1.047,17.12292314
2,1,ambient,ambient,absent,ambient_ambient,ambient_absent,ambient_absent,2.5,0,1,0,12.5,11.4,-1.1,75,116,41,5,7.1,2.1,7,0.7,68.6,2.3306,3.3696,1.039,2.0348,2.3216,0.2868,0.276034649,,,,,,,
3,8,high,low,present,high_low,high_present,low_present,3.1,0,1,1,16.8,17.8,1,75,93.1,18.1,5,7.5,2.5,9,0.9,61.7,1.9922,3.4909,1.4987,2.1547,2.7024,0.5477,0.365450057,4.609,6.0571,1.4481,0.966237406,24.515,1.608,17.7791836
3,8,high,low,present,high_low,high_present,low_present,3.2,0,1,1,18.7,19.5,0.8,75,123,48,5,8.3,3.3,8,0.8,61.3,2.1891,3.7771,1.588,1.948,2.3874,0.4394,0.276700252,4.683,5.9894,1.3064,0.822670025,24.231,1.458,19.38116038
3,8,high,low,present,high_low,high_present,low_present,3.3,0,1,1,15.2,13.4,-1.8,75,129,54,5,8.1,3.1,8,0.8,,1.6599,2.8176,1.1577,2.0924,2.5027,0.4103,0.354409605,4.616,5.9685,1.3525,1.168264663,25.856,1.906,15.81992443
3,8,high,low,present,high_low,high_present,low_present,3.4,0,0,1,14.7,16.2,1.5,75,122.4,47.4,5,8.4,3.4,8,0.8,63.7,2.0683,3.5258,1.4575,1.88,2.2503,0.3703,0.25406518,,,,,,,
3,8,high,low,present,high_low,high_present,low_present,3.5,0,0,1,19.4,20.8,1.4,75,128.4,53.4,5,9.1,4.1,8,0.8,96.7,2.1246,3.9003,1.7757,1.9536,2.5187,0.5651,0.318240694,,,,,,,
4,5,ambient,ambient,present,ambient_ambient,ambient_present,ambient_present,4.1,0,1,1,15.1,17.1,2,75,128.2,53.2,5,9.8,4.8,8,0.8,,1.9723,3.4864,1.5141,2.0289,2.6567,0.6278,0.414635757,4.3895,6.6334,2.2439,1.48200251,27.113,1.761,17.95494916
4,5,ambient,ambient,present,ambient_ambient,ambient_present,ambient_present,4.2,0,1,1,17.9,15.8,-2.1,75,116.5,41.5,5,9.2,4.2,8,0.8,88.8,1.8864,3.4037,1.5173,1.9683,2.7274,0.7591,0.500296579,4.3719,5.579,1.2071,0.795557899,25.496,1.721,17.27655479
4,5,ambient,ambient,present,ambient_ambient,ambient_present,ambient_present,4.3,0,1,1,16.6,18.1,1.5,75,165.6,90.6,5,7.4,2.4,8,0.8,97.3,2.1319,4.0468,1.9149,2.3162,2.81,0.4938,0.257872474,4.2658,6.402,2.1362,1.115567393,27.936,1.909,17.06570583
4,5,ambient,ambient,present,ambient_ambient,ambient_present,ambient_present,4.4,0,0,1,19.6,19.3,-0.3,75,127.2,52.2,5,8.1,3.1,9,0.9,83.3,2.2299,3.8396,1.6097,2.1942,2.7877,0.5935,0.368702243,,,,,,,
4,5,ambient,ambient,present,ambient_ambient,ambient_present,ambient_present,4.5,0,1,1,20.2,20.4,0.2,75,154.5,79.5,5,8.8,3.8,8,0.8,57.4,1.8865,3.8178,1.9313,2.0909,2.5096,0.4187,0.216796976,,,,,,,
5,4,high,low,absent,high_low,high_absent,low_absent,5.1,1,,,16.6,,,75,,,5,,,,,,1.787,,,2.0529,,,,,,,,,,
5,4,high,low,absent,high_low,high_absent,low_absent,5.2,0,1,0,13.7,11.3,-2.4,75,142.7,67.7,5,7.1,2.1,7,0.7,75.9,2.088,3.588,1.5,2.0187,2.2625,0.2438,0.162533333,4.5806,6.9506,2.37,1.58,27.307,1.825,17.44926279
5,4,high,low,absent,high_low,high_absent,low_absent,5.3,0,1,0,19.7,17.1,-2.6,75,93.5,18.5,5,9.2,4.2,9,0.9,64.6,1.7354,3.2072,1.4718,1.9158,2.4686,0.5528,0.37559451,4.5784,6.3484,1.77,1.20260905,24.238,1.573,17.96941837
5,4,high,low,absent,high_low,high_absent,low_absent,5.4,0,1,0,15.3,13.8,-1.5,75,137.5,62.5,5,8.3,3.3,9,0.9,27.3,2.1804,3.4892,1.3088,1.7922,2.162,0.3698,0.2825489,4.2721,6.0399,1.7678,1.350702934,26.936,1.842,17.05333954
5,4,high,low,absent,high_low,high_absent,low_absent,5.5,0,1,0,17,18.8,1.8,75,145.1,70.1,5,7.3,2.3,9,0.9,77,1.8995,3.5785,1.679,2.0486,2.4244,0.3758,0.223823705,,,,,,,
6,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,6.1,0,1,0,9.9,9.6,-0.3,75,124.3,49.3,5,7.5,2.5,7,0.7,65.1,1.9208,2.8314,0.9106,1.9988,2.3442,0.3454,0.379310345,4.1604,4.5971,0.4367,0.479573907,25.994,1.796,16.87845709
6,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,6.2,0,1,0,17.2,18.1,0.9,75,143.4,68.4,5,8.7,3.7,8,0.8,65.4,2.248,3.9784,1.7304,1.6877,2.2554,0.5677,0.328074434,4.31,5.4716,1.1616,0.671289875,26.669,1.879,16.55182603
6,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,6.3,0,1,0,12.6,13.3,0.7,75,127.7,52.7,5,7.9,2.9,7,0.7,60,1.8945,3.0735,1.179,1.9688,2.5114,0.5426,0.460220526,4.2547,4.9089,0.6542,0.554877014,28.211,1.931,17.03735485
6,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,6.4,1,,,19.5,,,75,,,5,,,,,,1.914,,,1.9993,,,,,,,,,,
6,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,6.5,0,,0,13.9,18.3,4.4,75,150,75,5,8.9,3.9,9,0.9,117.2,1.6878,3.3893,1.7015,2.0194,2.4765,0.4571,0.268645313,,,,,,,
7,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,7.1,0,1,0,12.3,11.6,-0.7,75,143.6,68.6,5,8.6,3.6,7,0.7,79.8,2.4318,3.6741,1.2423,1.9701,2.2628,0.2927,0.235611366,4.557,5.8642,1.3072,1.05224181,27.496,1.669,19.21229047
7,3,ambient,low,absent,ambient_low,ambient_absent,low_absent,7.2,0,1,0,14.6,15.3,0.7,75,146.4,71.4,5,8.7,3.7,8,0.8,92.4,2.1777,3.8204,1.6427,1.768,2.1757,0.4077,0.248188957,4.494,7.2834,2.7894,1.698058075,26.372,1.531,20.08786764
