treatment,tank,unit_id,CO2,light,CO2_light_combo,start_surface_area_cm2,end_surface_area_cm2,surface_area_change_cm2,time_in,time_out,time_days,change_per_day
17,8,17.1,ambient,ambient,ambient_ambient,4.738,4.721,0.017,7/21/2020 14:59,7/23/2020 13:46,1.949305556,0.008721055
17,36,17.1,ambient,ambient,ambient_ambient,3.967,3.87,0.097,7/21/2020 14:59,7/23/2020 14:02,1.960416725,0.049479276
17,7,17.11,ambient,ambient,ambient_ambient,4.442,4.453,-0.011,7/21/2020 14:59,7/23/2020 14:07,1.963888889,-0.005601132
17,26,17.12,ambient,ambient,ambient_ambient,5.618,5.547,0.071,7/21/2020 14:59,7/23/2020 14:09,1.965277836,0.036127207
17,26,17.13,ambient,ambient,ambient_ambient,4.421,4.356,0.065,7/21/2020 14:59,7/23/2020 14:09,1.965277836,0.033074204
17,36,17.14,ambient,ambient,ambient_ambient,4.347,4.351,-0.004,7/21/2020 14:59,7/23/2020 14:02,1.960416725,-0.002040383
17,26,17.15,ambient,ambient,ambient_ambient,5.138,5.131,0.007,7/21/2020 14:59,7/23/2020 14:09,1.965277836,0.003561837
17,16,17.16,ambient,ambient,ambient_ambient,4.624,4.599,0.025,7/21/2020 14:59,7/23/2020 14:07,1.963888947,0.012729844
17,29,17.17,ambient,ambient,ambient_ambient,4.799,4.75,0.049,7/21/2020 14:59,7/23/2020 14:12,1.967361169,0.024906459
17,7,17.18,ambient,ambient,ambient_ambient,4.21,4.158,0.052,7/21/2020 14:59,7/23/2020 14:07,1.963888889,0.026478076
17,36,17.19,ambient,ambient,ambient_ambient,5.453,5.468,-0.015,7/21/2020 14:59,7/23/2020 14:02,1.960416667,-0.007651435
17,26,17.2,ambient,ambient,ambient_ambient,5.408,5.371,0.037,7/21/2020 14:59,7/23/2020 14:09,1.965277836,0.018826855
17,7,17.2,ambient,ambient,ambient_ambient,4.729,4.674,0.055,7/21/2020 14:59,7/23/2020 14:07,1.963888889,0.028005658
17,16,17.3,ambient,ambient,ambient_ambient,4.272,4.193,0.079,7/21/2020 14:59,7/23/2020 14:07,1.963888947,0.040226307
17,29,17.4,ambient,ambient,ambient_ambient,4.456,4.427,0.029,7/21/2020 14:59,7/23/2020 14:12,1.967361169,0.014740557
