sampling_date,sampling_time,sampling_date_time,tank,sample,CO2_treatment,temperature,salinity,processing_date,spec_pH_25degC,spec_pH_insitu_temp,mean,std_dev,std_dev_x2,cv,percent,min,max,range
7/2/2020,16:39,7/2/2020 16:39,102,1,elevated,18.31,26.41,4/20/2021,7.4193,7.5152,7.4846,0.0483629,0.096725799,0.006461687,0.65%,7.4288,7.5152,0.0864
7/2/2020,16:41,7/2/2020 16:41,102,2,elevated,18.31,26.41,4/20/2021,7.4137,7.5096,,,,,,,,
7/2/2020,16:42,7/2/2020 16:42,102,3,elevated,18.31,26.42,4/20/2021,7.3329,7.4288,,,,,,,,
7/2/2020,16:50,7/2/2020 16:50,103,1,elevated,17.44,26.86,4/20/2021,7.6822,7.7909,7.792,0.000901448,0.001802896,0.000115689,0.01%,7.7909,7.7925,0.0016
7/2/2020,16:52,7/2/2020 16:52,103,2,elevated,17.49,26.87,4/20/2021,7.6846,7.7925,,,,,,,,
7/2/2020,16:53,7/2/2020 16:53,103,3,elevated,17.5,26.87,4/20/2021,7.6847,7.7925,,,,,,,,
7/2/2020,12:45,7/2/2020 12:45,44,1,elevated,17.31,27.19,4/28/2021,7.9164,8.027,8.0344,0.010460927,0.020921855,0.001302017,0.13%,8.027,8.0418,0.0148
7/2/2020,12:47,7/2/2020 12:47,44,2,elevated,17.31,27.21,4/28/2021,7.9312,8.0418,,,,,,,,
7/2/2020,12:49,7/2/2020 12:49,44,3,elevated,17.29,27.23,,,,,,,,,,,
7/2/2020,13:01,7/2/2020 13:01,3,1,elevated,16.23,27.16,4/28/2021,7.8149,7.9416,7.9474,0.008215867,0.016431734,0.001033785,0.10%,7.9416,7.9532,0.0116
7/2/2020,13:03,7/2/2020 13:03,3,2,elevated,16.25,27.16,4/28/2021,7.8269,7.9532,,,,,,,,
7/2/2020,13:04,7/2/2020 13:04,3,3,elevated,16.25,27.15,,,,,,,,,,,
7/2/2020,13:19,7/2/2020 13:19,4,1,ambient,16.62,27.02,4/28/2021,8.0309,8.1517,8.1441,0.010744505,0.02148901,0.001319301,0.13%,8.1365,8.1517,0.0152
7/2/2020,13:20,7/2/2020 13:20,4,2,ambient,16.62,27.01,4/28/2021,8.0157,8.1365,,,,,,,,
7/2/2020,13:21,7/2/2020 13:21,4,3,ambient,16.66,26.99,,,,,,,,,,,
7/2/2020,13:31,7/2/2020 13:31,6,1,ambient,16.77,26.89,5/5/2021,8.0007,8.1193,8.1206,0.001872422,0.003744844,0.000230577,0.02%,8.1193,8.1219,0.0026
7/2/2020,13:33,7/2/2020 13:33,6,2,ambient,16.81,26.87,5/5/2021,8.0039,8.1219,,,,,,,,
7/2/2020,13:34,7/2/2020 13:34,6,3,ambient,16.81,26.87,,,,,,,,,,,
7/5/2020,12:11,7/5/2020 12:11,42,1,ambient,17.19,26.77,,,,,,,,,,,
7/5/2020,12:12,7/5/2020 12:12,42,2,ambient,17.19,26.77,,,,,,,,,,,
7/5/2020,12:13,7/5/2020 12:13,42,3,ambient,17.19,26.75,,,,,,,,,,,
7/5/2020,12:21,7/5/2020 12:21,24,1,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:22,7/5/2020 12:22,24,2,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:23,7/5/2020 12:23,24,3,elevated,15.88,27.39,,,,,,,,,,,
7/5/2020,12:31,7/5/2020 12:31,22,1,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:32,7/5/2020 12:32,22,2,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:33,7/5/2020 12:33,22,3,ambient,15.81,27.39,,,,,,,,,,,
7/5/2020,12:40,7/5/2020 12:40,16,1,elevated,17,26.63,,,,,,,,,,,
7/5/2020,12:41,7/5/2020 12:41,16,2,elevated,17,26.62,,,,,,,,,,,
7/5/2020,12:43,7/5/2020 12:43,16,3,elevated,17,26.61,,,,,,,,,,,
7/8/2020,12:48,7/8/2020 12:48,12,1,ambient,16.81,27.24,5/12/2021,8.1436,8.2616,8.2625,0.00126435,0.0025287,0.000153023,0.02%,8.2616,8.2634,0.0018
7/8/2020,12:49,7/8/2020 12:49,12,2,ambient,16.81,27.23,5/12/2021,8.1454,8.2634,,,,,,,,
7/8/2020,12:50,7/8/2020 12:50,12,3,ambient,16.81,27.23,,,,,,,,,,,
7/8/2020,13:04,7/8/2020 13:04,6,1,ambient,18.5,25.14,5/12/2021,8.0275,8.1206,8.1166,0.005639978,0.011279955,0.000694869,0.07%,8.1126,8.1206,0.008
7/8/2020,13:05,7/8/2020 13:05,6,2,ambient,18.5,25.13,5/12/2021,8.0195,8.1126,,,,,,,,
7/8/2020,13:06,7/8/2020 13:06,6,3,ambient,18.48,25.12,,,,,,,,,,,
7/8/2020,12:56,7/8/2020 12:56,20,1,elevated,18.56,25.21,5/12/2021,7.844,7.9363,7.9379,0.002330095,0.00466019,0.000293539,0.03%,7.9363,7.9396,0.0033
7/8/2020,12:57,7/8/2020 12:57,20,2,elevated,18.56,25.2,5/12/2021,7.8473,7.9396,,,,,,,,
7/8/2020,12:58,7/8/2020 12:58,20,3,elevated,18.55,25.2,,,,,,,,,,,
7/8/2020,13:11,7/8/2020 13:11,21,1,elevated,18.36,25.12,5/19/2021,7.7673,7.8624,7.8554,0.009892794,0.019785589,0.001259357,0.13%,7.8484,7.8624,0.014
7/8/2020,13:12,7/8/2020 13:12,21,2,elevated,18.31,25.16,5/19/2021,7.7525,7.8484,,,,,,,,
7/8/2020,13:13,7/8/2020 13:13,21,3,elevated,18.29,25.2,,,,,,,,,,,
7/11/2020,10:50,7/11/2020 10:50,37,1,ambient,16.06,26.87,,,,,,,,,,,
7/11/2020,10:51,7/11/2020 10:51,37,2,ambient,16.09,26.86,,,,,,,,,,,
7/11/2020,10:53,7/11/2020 10:53,37,3,ambient,16.12,26.84,,,,,,,,,,,
7/11/2020,10:59,7/11/2020 10:59,14,1,elevated,15.11,28.14,,,,,,,,,,,
7/11/2020,11:00,7/11/2020 11:00,14,2,elevated,15.1,28.14,,,,,,,,,,,
7/11/2020,11:01,7/11/2020 11:01,14,3,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:07,7/11/2020 11:07,23,1,ambient,16.3,26.75,,,,,,,,,,,
7/11/2020,11:08,7/11/2020 11:08,23,2,ambient,16.28,26.74,,,,,,,,,,,
7/11/2020,11:09,7/11/2020 11:09,23,3,ambient,16.31,26.74,,,,,,,,,,,
7/11/2020,11:13,7/11/2020 11:13,31,1,elevated,15.09,28.14,,,,,,,,,,,
7/11/2020,11:15,7/11/2020 11:15,31,2,elevated,15.11,28.14,,,,,,,,,,,
7/11/2020,11:16,7/11/2020 11:16,31,3,elevated,15.12,28.14,,,,,,,,,,,
7/14/2020,10:39,7/14/2020 10:39,8,1,ambient,15.22,27.06,5/19/2021,7.9153,8.057,8.0532,0.005338435,0.01067687,0.000662898,0.07%,8.0494,8.057,0.0075
7/14/2020,10:40,7/14/2020 10:40,8,2,ambient,15.25,27.06,5/19/2021,7.9082,8.0494,,,,,,,,
7/14/2020,10:41,7/14/2020 10:41,8,3,ambient,15.24,27.06,,,,,,,,,,,
7/14/2020,10:46,7/14/2020 10:46,14,1,elevated,15.71,28.27,5/19/2021,7.7777,7.912,7.9096,0.003376766,0.006753533,0.000426918,0.04%,7.9072,7.912,0.0048
7/14/2020,10:47,7/14/2020 10:47,14,2,elevated,15.72,28.26,5/19/2021,7.773,7.9072,,,,,,,,
7/14/2020,10:48,7/14/2020 10:48,14,3,elevated,15.71,28.27,,,,,,,,,,,
7/14/2020,10:53,7/14/2020 10:53,38,1,ambient,15.26,27.06,5/19/2021,7.963,8.1041,8.105,0.001234968,0.002469937,0.000152372,0.02%,8.1041,8.1058,0.0017
7/14/2020,10:54,7/14/2020 10:54,38,2,ambient,15.28,27.06,5/19/2021,7.965,8.1058,,,,,,,,
7/14/2020,10:55,7/14/2020 10:55,38,3,ambient,15.27,27.05,,,,,,,,,,,
7/14/2020,11:00,7/14/2020 11:00,21,1,elevated,15.25,27.05,6/9/2021,7.7318,7.873,7.8705,0.003611216,0.007222432,0.000458832,0.05%,7.8679,7.873,0.0051
7/14/2020,11:01,7/14/2020 11:01,21,2,elevated,15.26,27.04,6/9/2021,7.7268,7.8679,,,,,,,,
7/14/2020,11:02,7/14/2020 11:02,21,3,elevated,15.26,27.04,,,,,,,,,,,
7/17/2020,10:42,7/17/2020 10:42,37,1,ambient,15.63,27.11,,,,,,,,,,,
7/17/2020,10:44,7/17/2020 10:44,37,2,ambient,15.63,27.12,,,,,,,,,,,
7/17/2020,10:45,7/17/2020 10:45,37,3,ambient,15.63,27.09,,,,,,,,,,,
7/17/2020,10:53,7/17/2020 10:53,11,1,elevated,15.56,27.14,,,,,,,,,,,
7/17/2020,10:54,7/17/2020 10:54,11,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,10:55,7/17/2020 10:55,11,3,elevated,15.56,27.16,,,,,,,,,,,
7/17/2020,11:01,7/17/2020 11:01,22,1,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:02,7/17/2020 11:02,22,2,ambient,15.63,27.17,,,,,,,,,,,
7/17/2020,11:03,7/17/2020 11:03,22,3,ambient,15.63,27.18,,,,,,,,,,,
7/17/2020,11:09,7/17/2020 11:09,29,1,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:10,7/17/2020 11:10,29,2,elevated,15.56,27.15,,,,,,,,,,,
7/17/2020,11:12,7/17/2020 11:12,29,3,elevated,15.56,27.15,,,,,,,,,,,
7/19/2020,11:22,7/19/2020 11:22,102,1,elevated,15.94,27.33,4/20/2021,7.6383,7.7692,7.7517,0.024701524,0.049403049,0.003186575,0.32%,7.7343,7.7692,0.0349
7/19/2020,11:23,7/19/2020 11:23,102,2,elevated,15.94,27.32,4/20/2021,7.6033,7.7343,,,,,,,,
7/19/2020,11:24,7/19/2020 11:24,102,3,elevated,15.94,27.33,,,,,,,,,,,
7/19/2020,11:35,7/19/2020 11:35,103,1,elevated,15.94,27.3,4/28/2021,7.7215,7.8524,7.8643,0.016769672,0.033539345,0.002132386,0.21%,7.8524,7.8761,0.0237
7/19/2020,11:36,7/19/2020 11:36,103,2,elevated,15.94,27.3,4/28/2021,7.7452,7.8761,,,,,,,,
7/19/2020,11:37,7/19/2020 11:37,103,3,elevated,15.94,27.3,,,,,,,,,,,
7/19/2020,10:39,7/19/2020 10:39,27,1,ambient,16.06,27.35,5/5/2021,7.8677,7.9969,7.9965,0.000585514,0.001171028,7.32E-05,0.01%,7.9961,7.9969,0.0008
